Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
KNN com k=1;0.56;0.60;0.22;0.59;0.58;0.22;0.62;0.59;0.22;0.61;0.47
KNN com k=2;0.48;0.54;0.17;0.83;0.67;0.44;0.27;0.59;0.25;0.41;0.42
KNN com k=3;0.58;0.63;0.20;0.82;0.69;0.44;0.49;0.66;0.28;0.61;0.52
KNN com k=4;0.58;0.58;0.14;0.75;0.82;0.11;0.41;0.68;0.12;0.53;0.44
KNN com k=5;0.55;0.53;0.17;0.90;0.89;0.11;0.24;0.67;0.13;0.38;0.39
KNN com k=6;0.53;0.53;0.17;0.78;0.89;0.11;0.19;0.66;0.13;0.30;0.37
KNN com k=7;0.52;0.52;0.00;0.78;0.89;0.00;0.19;0.66;0.00;0.30;0.32
KNN com k=8;0.54;0.53;0.00;0.80;0.91;0.00;0.22;0.67;0.00;0.34;0.34
KNN com k=9;0.53;0.52;0.00;0.78;0.91;0.00;0.19;0.66;0.00;0.30;0.32
KNN com k=10;0.53;0.51;0.00;0.88;0.91;0.00;0.19;0.66;0.00;0.31;0.32
KNN com k=11;0.49;0.50;0.00;0.80;0.91;0.00;0.11;0.65;0.00;0.19;0.28
KNN com k=12;0.52;0.52;0.00;0.75;0.91;0.00;0.16;0.66;0.00;0.27;0.31
KNN com k=13;0.54;0.53;0.00;0.86;0.96;0.00;0.16;0.68;0.00;0.27;0.32
KNN com k=14;0.52;0.52;0.00;0.71;0.93;0.00;0.14;0.67;0.00;0.23;0.30
KNN com k=15;0.53;0.52;0.00;0.80;0.98;0.00;0.11;0.68;0.00;0.19;0.29
KNN com k=16;0.53;0.52;0.00;0.80;0.98;0.00;0.11;0.68;0.00;0.19;0.29
KNN com k=17;0.53;0.52;0.00;0.80;0.98;0.00;0.11;0.68;0.00;0.19;0.29
KNN com k=18;0.53;0.52;0.00;0.80;0.98;0.00;0.11;0.68;0.00;0.19;0.29
KNN com k=19;0.53;0.52;0.00;0.67;0.98;0.00;0.11;0.68;0.00;0.19;0.29
KNN com k=20;0.54;0.52;0.00;0.71;0.98;0.00;0.14;0.68;0.00;0.23;0.30
KNN com k=21;0.53;0.52;0.00;0.67;0.98;0.00;0.11;0.68;0.00;0.19;0.29
KNN com k=22;0.55;0.53;0.00;0.83;1.00;0.00;0.14;0.69;0.00;0.23;0.31
KNN com k=23;0.54;0.52;0.00;0.80;1.00;0.00;0.11;0.69;0.00;0.19;0.29
KNN com k=24;0.54;0.52;0.00;0.80;1.00;0.00;0.11;0.69;0.00;0.19;0.29
KNN com k=25;0.54;0.52;0.00;1.00;1.00;0.00;0.11;0.68;0.00;0.20;0.29
KNN com k=26;0.55;0.52;0.00;0.86;0.98;0.00;0.16;0.68;0.00;0.27;0.32
KNN com k=27;0.54;0.52;0.00;0.83;0.98;0.00;0.14;0.68;0.00;0.23;0.30
KNN com k=28;0.54;0.52;0.00;0.83;0.98;0.00;0.14;0.68;0.00;0.23;0.30
KNN com k=29;0.54;0.52;0.00;0.83;0.98;0.00;0.14;0.68;0.00;0.23;0.30
KNN com k=30;0.54;0.52;0.00;0.83;0.98;0.00;0.14;0.68;0.00;0.23;0.30
