Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
SVR_kernel linear scale_;0.006119115234808989;0.0010991936125576886;0.06453628636491332;0.002237527101830024;-1.1241500470555958;0.4131632620443849;1.2046815633773804;0.041191323492568876
SVR_kernel linear auto_;0.006119115234808989;0.0010991936125576886;0.06453628636491332;0.002237527101830024;-1.1241500470555958;0.4131632620443849;1.1782904148101807;0.04501857272060701
SVR_kernel rbf scale_;0.008315100680344894;0.0010420462425760882;0.0829477550350658;0.0011202023372244808;-1.9190064505532274;0.6081056442681557;2.329935359954834;0.11750649188131922
SVR_kernel rbf auto_;0.00768947937230868;0.0010992529513397008;0.07952626544218012;0.0011240235023931605;-1.686173946343977;0.5257462259720043;0.35273191928863523;0.01242429656653874
SVR_kernel sigmoid auto_;0.007698826979998778;0.0010985786345976325;0.0795844745725846;0.0011123233567681616;-1.689955500373669;0.528878860476852;0.33039326667785646;0.013236753080634238
SVR_kernel sigmoid scale_;0.005683285150373717;0.0010629854671274097;0.056487818660771946;0.002096643400749767;-0.9683597389633803;0.3726904439293753;1.3675663948059082;0.1700673958282878
SVR_kernel poly g2 auto_;0.007712345505292402;0.0010969922654106518;0.07966930614859838;0.0011133040680723363;-1.6947079992973386;0.5290159361599175;0.31002140045166016;0.009760995756372789
SVR_kernel poly g2 scale_;0.008490073638100136;0.001013273026519083;0.08428559540617861;0.0008977392792098617;-1.9858930801779837;0.6370508144369423;2.6164615154266357;0.2373239235970472
SVR_kernel poly g3 auto_;0.007712345231398875;0.0010969923303818581;0.07966930446020086;0.0011133041200447871;-1.6947079078326124;0.529015984663145;0.29993247985839844;0.01088287759471384
SVR_kernel poly g3 scale_;0.008561570726164421;0.0010159197935086385;0.08479116896388361;0.0008128463085565966;-2.0121370320954957;0.6464836561287328;2.9606642007827757;0.2008261364974357
SVR_kernel poly g4 auto_;0.007712345231299482;0.0010969923304137512;0.07966930445958888;0.001113304120180895;-1.694707907796198;0.5290159846636333;0.29358160495758057;0.010284451648516631
SVR_kernel poly g4 scale_;0.008563942184388385;0.001015691604507584;0.08481337226723606;0.0007937752185315358;-2.0132178619507966;0.647878153567723;3.004162001609802;0.21461347003266038
SVR_kernel poly g5 scale_;0.00856377769988507;0.0010154810452296173;0.08481383030516718;0.000788462566135288;-2.0132381536244717;0.6482560299397551;3.0126656770706175;0.2363927303485854
SVR_kernel poly g5 auto_;0.007712345231299454;0.00109699233041376;0.07966930445958871;0.001113304120180931;-1.6947079077961882;0.5290159846636329;0.2943621873855591;0.0095907801281847
SVR_kernel poly g6 auto_;0.007712345231299454;0.00109699233041376;0.07966930445958871;0.001113304120180931;-1.6947079077961882;0.5290159846636329;0.2931931734085083;0.010460126888829153
